account_id,cust_identifier,account_type,balance,currency,open_date,branch,status,interest_rate,overdraft,last_txn_date,risk_flag
ACC00001,CUST0204,Savings,16518,INR,2020-02-13,Delhi,Active,4.26,True,2022-06-18,High
ACC00002,CUST0160,Current,98873,INR,2023-02-27,Pune,Active,6.15,False,2020-04-22,Low
ACC00003,CUST0176,Loan,63645,INR,2023-04-10,Mumbai,Closed,4.25,False,2021-12-22,Low
ACC00004,CUST0065,Savings,395349,INR,2023-02-07,Pune,Closed,5.55,False,2021-04-25,Low
ACC00005,CUST0181,Savings,493275,INR,2023-10-17,Pune,Active,8.36,False,2022-06-19,High
ACC00006,CUST0139,Savings,430800,INR,2021-03-08,Delhi,Active,4.5,False,2022-08-01,Medium
ACC00007,CUST0101,Loan,422479,INR,2020-11-14,Delhi,Closed,3.15,True,2022-08-31,Medium
ACC00008,CUST0030,Savings,43841,INR,2020-08-27,Delhi,Closed,4.79,False,2021-11-16,High
ACC00009,CUST0049,Current,125566,INR,2023-12-31,Delhi,Closed,4.52,True,2024-09-16,Low
ACC00010,CUST0047,Current,497132,INR,2020-03-31,Mumbai,Closed,6.52,False,2021-09-05,Low
ACC00011,CUST0200,Current,29136,INR,2024-06-01,Mumbai,Active,5.35,False,2021-09-08,High
ACC00012,CUST0121,Current,401473,INR,2023-11-19,Delhi,Closed,6.72,True,2022-03-11,Medium
ACC00013,CUST0220,Loan,364075,INR,2024-03-06,Delhi,Active,7.1,False,2024-07-16,Low
ACC00014,CUST0126,Loan,470335,INR,2021-08-19,Mumbai,Active,7.68,True,2021-07-03,High
ACC00015,CUST0106,Current,284740,INR,2020-02-04,Mumbai,Closed,3.25,False,2021-11-06,High
ACC00016,CUST0001,Current,83911,INR,2023-01-07,Delhi,Active,6.9,False,2020-11-16,Low
ACC00017,CUST0071,Loan,405480,INR,2022-06-29,Pune,Closed,7.6,True,2023-11-14,Medium
ACC00018,CUST0072,Loan,43363,INR,2024-06-20,Delhi,Closed,3.55,True,2021-06-30,Low
ACC00019,CUST0088,Savings,381392,INR,2022-12-08,Delhi,Closed,6.04,False,2021-04-22,Low
ACC00020,CUST0115,Current,182859,INR,2024-03-09,Pune,Active,8.33,True,2020-04-02,High
ACC00021,CUST0156,Current,113441,INR,2023-10-15,Mumbai,Closed,5.64,False,2023-05-04,Low
ACC00022,CUST0125,Loan,144522,INR,2022-02-11,Mumbai,Active,8.49,False,2022-06-17,Low
